uuid,spot_number,shot_number,shots_in_spot,image_filename,image_width,image_height,image_quality,capture_datetime,latitude,longitude,altitude_m,altitude_accuracy_m,gps_accuracy_m,gps_reading_count,camera_pitch,camera_roll,camera_heading,municipality,barangay,farm_name,crops,temperature_c,humidity_percent,notes,device_id,capture_mode,ph,n,p,k
2b33eda0,14,2,5,images/2026/01/21/latrinidad_balili_20260121_054246_2b33eda0.jpg,1080,1080,1080p,2026-01-21T05:42:46.568Z,,,,,,,17,0,197,La Trinidad,Balili,,lettuce,,,,TECNO_TECNO_CM8_DF2CAC,controlled,5.8,0,1,0
d425a444,14,3,5,images/2026/01/21/latrinidad_balili_20260121_054249_d425a444.jpg,1080,1080,1080p,2026-01-21T05:42:49.304Z,,,,,,,11,0,197,La Trinidad,Balili,,lettuce,,,,TECNO_TECNO_CM8_DF2CAC,controlled,5.8,0,1,0
fe0d4ddb,7,1,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_004256_fe0d4ddb.jpg,1080,1080,1080p,2026-01-21T00:42:56.726Z,16.45386,120.591508,1365,15,3.5,1,21,-41,165,La Trinidad,Balili,BSU Back,potato,18,71,,TECNO_TECNO_CM8_5EAA20,field,6.4,0,1,1
526d2fca,7,2,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_004259_526d2fca.jpg,1080,1080,1080p,2026-01-21T00:42:59.596Z,16.45386,120.591508,1365,15,3.5,1,11,-48,190,La Trinidad,Balili,BSU Back,potato,18,71,,TECNO_TECNO_CM8_5EAA20,field,6.4,0,1,1
704ad8fd,7,3,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_004302_704ad8fd.jpg,1080,1080,1080p,2026-01-21T00:43:02.282Z,16.45386,120.591508,1365,15,3.5,1,10,-47,189,La Trinidad,Balili,BSU Back,potato,18,71,,TECNO_TECNO_CM8_5EAA20,field,6.4,0,1,1
6a4d8fb4,3,1,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011254_6a4d8fb4.jpg,1920,1080,1080p,2026-02-13T01:12:54.247Z,16.453474,120.590843,1360,19,3.5,1,13,0,38,Atok,Paoay,,potato,18.6,74,,samsung_SM-A546E_DF7DBC,field,6.4,0,1,2
fc1e061b,3,2,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011314_fc1e061b.jpg,1920,1080,1080p,2026-02-13T01:13:14.842Z,16.453474,120.590843,1360,19,3.5,1,39,-2,323,Atok,Paoay,,potato,18.6,74,,samsung_SM-A546E_DF7DBC,field,6.4,0,1,2
934ea7e4,3,3,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011337_934ea7e4.jpg,1920,1080,1080p,2026-02-13T01:13:37.171Z,16.453473,120.590821,1398,18,3.5,1,57,-13,23,Atok,Paoay,,potato,18.6,74,,samsung_SM-A546E_DF7DBC,field,6.4,0,1,2
6fd476b7,20,1,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_011307_6fd476b7.jpg,1080,1080,1080p,2026-01-21T01:13:07.337Z,16.453779,120.591772,1358,42,3.4,1,34,0,263,La Trinidad,Balili,BSU Back,"lettuce,custom_iceberg_lettuce",18.5,67,,TECNO_TECNO_CM8_5EAA20,field,6.4,0,2,0
3c47cabf,20,2,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_011310_3c47cabf.jpg,1080,1080,1080p,2026-01-21T01:13:10.587Z,16.453779,120.591772,1358,42,3.4,1,46,4,280,La Trinidad,Balili,BSU Back,"lettuce,custom_iceberg_lettuce",18.5,67,,TECNO_TECNO_CM8_5EAA20,field,6.4,0,2,0
807e97a8,20,3,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_011313_807e97a8.jpg,1080,1080,1080p,2026-01-21T01:13:13.722Z,16.453779,120.591772,1358,42,3.4,1,16,-7,289,La Trinidad,Balili,BSU Back,"lettuce,custom_iceberg_lettuce",18.5,67,,TECNO_TECNO_CM8_5EAA20,field,6.4,0,2,0
800fbc4f,36,1,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_014708_800fbc4f.jpg,1080,1080,1080p,2026-01-21T01:47:08.198Z,16.453152,120.591488,1358,19,1.9,1,27,-5,208,La Trinidad,Balili,BSU Back,tomato,19.2,58,,TECNO_TECNO_CM8_5EAA20,field,7.2,0,2,1
46e9c8eb,36,2,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_014716_46e9c8eb.jpg,1080,1080,1080p,2026-01-21T01:47:16.399Z,16.453133,120.591465,1360,18,87.9,1,17,5,198,La Trinidad,Balili,BSU Back,tomato,19.2,58,,TECNO_TECNO_CM8_5EAA20,field,7.2,0,2,1
08700ab9,36,3,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_014719_08700ab9.jpg,1080,1080,1080p,2026-01-21T01:47:19.670Z,16.453112,120.591463,1360,17,1.4,1,25,1,219,La Trinidad,Balili,BSU Back,tomato,19.2,58,,TECNO_TECNO_CM8_5EAA20,field,7.2,0,2,1
258bea1d,7,1,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_012228_258bea1d.jpg,1280,720,720p,2026-02-13T01:22:28.969Z,16.453414,120.590803,1358,9,9.9,1,45,10,283,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field,6.4,0,2,2
ec4306fb,7,2,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_012258_ec4306fb.jpg,1280,720,720p,2026-02-13T01:22:58.312Z,16.453417,120.590822,1360,5,5,1,44,7,323,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field,6.4,0,2,2
77772c5c,7,3,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_012311_77772c5c.jpg,1280,720,720p,2026-02-13T01:23:11.780Z,16.453417,120.590822,1360,5,5,1,48,14,257,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field,6.4,0,2,2
23079a73,7,1,5,images/2026/01/21/latrinidad_betag_sf_20260121_051258_23079a73.jpg,1080,1080,1080p,2026-01-21T05:12:58.679Z,,,,,,,36,-1,195,La Trinidad,Betag,SF,custom_ice_berg,,,,TECNO_TECNO_CM8_DF2CAC,controlled,6.4,1,0,0
10833611,7,2,5,images/2026/01/21/latrinidad_betag_sf_20260121_051303_10833611.jpg,1080,1080,1080p,2026-01-21T05:13:03.175Z,,,,,,,28,0,195,La Trinidad,Betag,SF,custom_ice_berg,,,,TECNO_TECNO_CM8_DF2CAC,controlled,6.4,1,0,0
f746b179,7,3,5,images/2026/01/21/latrinidad_betag_sf_20260121_051307_f746b179.jpg,1080,1080,1080p,2026-01-21T05:13:07.663Z,,,,,,,20,1,195,La Trinidad,Betag,SF,custom_ice_berg,,,,TECNO_TECNO_CM8_DF2CAC,controlled,6.4,1,0,0
jan16_0153,28,1,8,Latrinidad/latrinidad_betag_sf_20260116_111330_e1b52b48.jpg,,,,2026-01-16T12:00:00.000Z,,,,,,,,,,La Trinidad,Betag,Strawberry Farm,"strawberry,brocolli,green_ice,pechay,lettuce",,,"Manually labeled - no GPS data. Crops: strawberry, brocolli, green ice, pechay, lettuce",unknown_phone_camera,field,6.8,1,0,1
jan16_0154,28,2,8,Latrinidad/latrinidad_betag_sf_20260116_111335_19c1553a.jpg,,,,2026-01-16T12:00:00.000Z,,,,,,,,,,La Trinidad,Betag,Strawberry Farm,"strawberry,brocolli,green_ice,pechay,lettuce",,,"Manually labeled - no GPS data. Crops: strawberry, brocolli, green ice, pechay, lettuce",unknown_phone_camera,field,6.8,1,0,1
jan16_0155,28,3,8,Latrinidad/latrinidad_betag_sf_20260116_111336_28cd820d.jpg,,,,2026-01-16T12:00:00.000Z,,,,,,,,,,La Trinidad,Betag,Strawberry Farm,"strawberry,brocolli,green_ice,pechay,lettuce",,,"Manually labeled - no GPS data. Crops: strawberry, brocolli, green ice, pechay, lettuce",unknown_phone_camera,field,6.8,1,0,1
324ef269,2,1,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011101_324ef269.jpg,1280,720,720p,2026-02-13T01:11:01.213Z,16.453443,120.590811,1360,6,9.9,1,33,3,278,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field,6.4,1,0,2
72d742a8,2,2,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011119_72d742a8.jpg,1280,720,720p,2026-02-13T01:11:19.668Z,16.453443,120.590811,1360,6,9.9,1,40,18,48,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field,6.4,1,0,2
48a2ab5d,2,3,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011138_48a2ab5d.jpg,1280,720,720p,2026-02-13T01:11:38.783Z,16.453443,120.590811,1360,6,9.9,1,67,15,94,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field,6.4,1,0,2
29c36fd5,24,1,5,images/2026/01/21/latrinidad_betag_sf_20260121_050253_29c36fd5.jpg,1080,1080,1080p,2026-01-21T05:02:53.426Z,,,,,,,41,1,196,La Trinidad,Betag,SF,lettuce,,,,TECNO_TECNO_CM8_DF2CAC,controlled,6.8,1,1,0
2c98b4eb,24,2,5,images/2026/01/21/latrinidad_betag_sf_20260121_050257_2c98b4eb.jpg,1080,1080,1080p,2026-01-21T05:02:57.390Z,,,,,,,34,-1,197,La Trinidad,Betag,SF,lettuce,,,,TECNO_TECNO_CM8_DF2CAC,controlled,6.8,1,1,0
1a3a261f,24,3,5,images/2026/01/21/latrinidad_betag_sf_20260121_050301_1a3a261f.jpg,1080,1080,1080p,2026-01-21T05:03:01.388Z,,,,,,,27,0,198,La Trinidad,Betag,SF,lettuce,,,,TECNO_TECNO_CM8_DF2CAC,controlled,6.8,1,1,0
9de47a85,18,1,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_060909_9de47a85.jpg,1080,1080,1080p,2026-01-21T06:09:09.943Z,,,,,,,16,1,252,La Trinidad,Balili,BSU Back,cabbage,,,,TECNO_TECNO_CM8_DF2CAC,controlled,5.8,1,1,1
9fd06765,18,2,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_060915_9fd06765.jpg,1080,1080,1080p,2026-01-21T06:09:15.394Z,,,,,,,5,-24,260,La Trinidad,Balili,BSU Back,cabbage,,,,TECNO_TECNO_CM8_DF2CAC,controlled,5.8,1,1,1
4c69d884,18,3,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_060920_4c69d884.jpg,1080,1080,1080p,2026-01-21T06:09:20.910Z,,,,,,,5,30,255,La Trinidad,Balili,BSU Back,cabbage,,,,TECNO_TECNO_CM8_DF2CAC,controlled,5.8,1,1,1
26970d07,4,1,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011439_26970d07.jpg,1280,720,720p,2026-02-13T01:14:39.061Z,16.453481,120.590855,1358,5,8.6,1,40,8,287,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field,6.4,1,1,2
59f748d1,4,2,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011451_59f748d1.jpg,1280,720,720p,2026-02-13T01:14:51.190Z,16.453466,120.590866,1364,19,6.1,1,36,-1,75,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field,6.4,1,1,2
85ae57bd,4,3,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011459_85ae57bd.jpg,1280,720,720p,2026-02-13T01:14:59.590Z,16.453466,120.590866,1364,19,6.1,1,50,10,278,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field,6.4,1,1,2
b78157dd,93,1,5,images/atok/paoay/no_farm/mixed_crops/atok_paoay_20260206_003011_b78157dd.jpg,1920,1080,1080p,2026-02-06T00:30:12.521Z,16.6303,120.759013,2422,34,4.2,1,43,-1,115,Atok,Paoay,,"cabbage,custom_chinese_cabbage",17,51,,TECNO_TECNO_CM8_2703FE,field,7.2,1,2,0
4c8bf96a,93,2,5,images/atok/paoay/no_farm/mixed_crops/atok_paoay_20260206_003016_4c8bf96a.jpg,1920,1080,1080p,2026-02-06T00:30:16.567Z,16.630308,120.758987,2417,17,5.8,1,45,1,142,Atok,Paoay,,"cabbage,custom_chinese_cabbage",18.7,45,,TECNO_TECNO_CM8_2703FE,field,7.2,1,2,0
35f05eeb,93,3,5,images/atok/paoay/no_farm/mixed_crops/atok_paoay_20260206_003021_35f05eeb.jpg,1920,1080,1080p,2026-02-06T00:30:21.558Z,16.630308,120.758987,2417,17,5.8,1,46,-6,90,Atok,Paoay,,"cabbage,custom_chinese_cabbage",18.7,45,,TECNO_TECNO_CM8_2703FE,field,7.2,1,2,0
704fd882,79,1,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_000409_704fd882.jpg,1920,1080,1080p,2026-02-06T00:04:09.414Z,16.630091,120.759097,2442,23,4.6,1,5,-3,225,Atok,Paoay,,cabbage,10.9,52,,samsung_SM-A546E_DF7DBC,field,7.2,1,2,1
90bd4bdd,79,2,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_000415_90bd4bdd.jpg,1920,1080,1080p,2026-02-06T00:04:15.476Z,16.630091,120.759097,2442,23,4.6,1,16,-14,173,Atok,Paoay,,cabbage,10.9,52,,samsung_SM-A546E_DF7DBC,field,7.2,1,2,1
d65883dc,79,3,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_000422_d65883dc.jpg,1920,1080,1080p,2026-02-06T00:04:22.123Z,16.630091,120.759097,2442,23,4.6,1,4,15,86,Atok,Paoay,,cabbage,10.9,52,,samsung_SM-A546E_DF7DBC,field,7.2,1,2,1
