SNO,Organic carbon,,image_number,,
155,0.503422,.jpg,155.jpg,,
156,0.451698,.jpg,156.jpg,,
157,0.529284,.jpg,157.jpg,,
158,0.21894,.jpg,158.jpg,,
159,0.34825,.jpg,159.jpg,,
160,0.787905,.jpg,160.jpg,,
161,0.399974,.jpg,161.jpg,,
162,0.568077,.jpg,162.jpg,,
163,0.154284,.jpg,163.jpg,,
164,0.529284,.jpg,164.jpg,,
165,0.736181,.jpg,165.jpg,,
166,0.296526,.jpg,166.jpg,,
167,0.865491,.jpg,167.jpg,,
168,0.516353,.jpg,168.jpg,,
169,0.283595,.jpg,169.jpg,,
170,1.046526,.jpg,170.jpg,,
171,0.839629,.jpg,171.jpg,,
172,1.212043,.jpg,172.jpg,,
173,0.169532,.jpg,173.jpg,,
174,0.739843,.jpg,174.jpg,,
175,0.635379,.jpg,175.jpg,,
176,0.492043,.jpg,176.jpg,,
177,0.714482,.jpg,177.jpg,,
178,1.329116,.jpg,178.jpg,,
179,0.363263,.jpg,179.jpg,,
180,0.626677,.jpg,180.jpg,,
181,0.831555,.jpg,181.jpg,,
182,0.644573,.jpg,182.jpg,,
183,0.363263,.jpg,183.jpg,,
184,0.890092,.jpg,184.jpg,,
185,0.992531,.jpg,185.jpg,,
186,1.768141,.jpg,186.jpg,,
187,1.058555,.jpg,187.jpg,,
188,0.129901,.jpg,188.jpg,,
189,0.504901,.jpg,189.jpg,,
190,0.711798,.jpg,190.jpg,,
191,0.272143,.jpg,191.jpg,,
192,0.841108,.jpg,192.jpg,,
193,0.49197,.jpg,193.jpg,,
194,0.259212,.jpg,194.jpg,,
195,1.022143,.jpg,195.jpg,,
196,0.815246,.jpg,196.jpg,,
197,1.18766,.jpg,197.jpg,,
198,0.145149,.jpg,198.jpg,,
199,0.71546,.jpg,199.jpg,,
200,0.610996,.jpg,200.jpg,,
201,0.46766,.jpg,201.jpg,,
202,0.690099,.jpg,202.jpg,,
203,1.304733,.jpg,203.jpg,,
204,0.33888,.jpg,204.jpg,,
205,0.602294,.jpg,205.jpg,,
206,0.807172,.jpg,206.jpg,,
207,0.62019,.jpg,207.jpg,,
208,0.33888,.jpg,208.jpg,,
209,0.865709,.jpg,209.jpg,,
210,0.968148,.jpg,210.jpg,,
211,1.743758,.jpg,211.jpg,,
212,1.034172,.jpg,212.jpg,,
213,0.763522,.jpg,213.jpg,,
214,0.375591,.jpg,214.jpg,,
215,0.543694,.jpg,215.jpg,,
216,0.129901,.jpg,216.jpg,,
217,0.504901,.jpg,217.jpg,,
218,0.711798,.jpg,218.jpg,,
219,0.272143,.jpg,219.jpg,,
220,0.841108,.jpg,220.jpg,,
221,0.49197,.jpg,221.jpg,,
222,0.259212,.jpg,222.jpg,,
223,1.022143,.jpg,223.jpg,,
224,0.815246,.jpg,224.jpg,,
225,1.18766,.jpg,225.jpg,,
